id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Electric Dreams,Synth Wave King,electronic,energetic,0.96,140,0.78,0.85,0.12
12,Street Flow,Beat Maker,hip-hop,aggressive,0.89,115,0.55,0.72,0.25
13,Smooth Nights,Soul Harmony,r&b,smooth,0.45,92,0.68,0.65,0.58
14,Sunset Road,Country Riders,country,happy,0.68,108,0.79,0.74,0.72
15,Forest Whispers,Nature Folk,folk,peaceful,0.32,75,0.62,0.48,0.88
16,Symphony in D,Classical Ensemble,classical,serene,0.25,70,0.60,0.42,0.95
17,Metal Thunder,Rage Brigade,metal,angry,0.94,160,0.35,0.58,0.08
18,Island Vibes,Reggae Roots,reggae,upbeat,0.62,105,0.75,0.68,0.76
19,Empty Streets,Indie Hearts,indie,melancholic,0.48,95,0.45,0.55,0.62
20,Pulse Rising,Electro Beats,edm,euphoric,0.98,155,0.85,0.92,0.05
21,Smooth Groove,Jazz Collective,jazz,upbeat,0.63,102,0.73,0.68,0.54
22,Soul Fire,Soul Singers,soul,happy,0.71,115,0.80,0.76,0.45
23,Dark Beat,Trap Master,trap,intense,0.87,128,0.42,0.79,0.15
24,Unplugged Moment,Acoustic Artists,acoustic,peaceful,0.38,82,0.64,0.52,0.91
25,Funky Horizon,Funk Stars,funk,energetic,0.85,126,0.81,0.87,0.28
26,Broken Glass,Indie Rebels,indie rock,dark,0.72,120,0.38,0.64,0.32
27,Dancing Till Dawn,House Movement,house,euphoric,0.93,138,0.84,0.90,0.10
28,Lonesome Highway,Blues Man,blues,melancholic,0.35,88,0.42,0.48,0.85
29,K-Pop Explosion,K-Stars,k-pop,energetic,0.91,132,0.82,0.85,0.20
30,Neon Shadows,Alt Modern,alternative,dark,0.68,118,0.40,0.71,0.28
31,Fading Echoes,Silent Room,indie,sad,0.30,68,0.25,0.40,0.75
32,Rainy Window,Grey Hours,acoustic,sad,0.22,60,0.18,0.30,0.90
33,Goodbye Letter,Paper Hearts,folk,sad,0.28,65,0.20,0.35,0.82
34,Empty Chair,Hollow Sound,piano,sad,0.18,55,0.15,0.25,0.95
35,Last Train Home,Lonely Static,indie rock,sad,0.45,80,0.30,0.45,0.55
